Item,Category,Pt_Cnt,Percent,Z_Min,Z_Max,Intensity_Min,Intensity_Max,Synthetic_Pt_Cnt,Range_Min,Range_Max

First,Returns,8545743,69.41,810.55,6983.93,,,,,
Second,Returns,2652635,21.55,783.42,1339.31,,,,,
Third,Returns,956335,7.77,829.33,1329.07,,,,,
Fourth,Returns,157028,1.28,829.65,1280.00,,,,,
Last,Returns,8544615,69.40,783.42,1335.42,,,,,
Single,Returns,5892287,47.86,810.55,1328.27,,,,,
First_of_Many,Returns,2653456,21.55,837.07,6983.93,,,,,
Last_of_Many,Returns,2652328,21.54,783.42,1335.42,,,,,
All,Returns,12311741,100.00,783.42,6983.93,,,,,
1_Unclassified,ClassCodes,2246985,18.25,809.28,1349.56,1,5100,0,,
2_Ground,ClassCodes,3782275,30.72,830.33,1267.09,1,5100,0,,
7_Low_Point(noise),ClassCodes,1072,0.01,783.42,6983.93,1,59,0,,
9_Water,ClassCodes,14229,0.12,829.15,843.31,1,5100,0,,
12_Overlap_Points,ClassCodes,6267180,50.90,809.71,1349.44,1,5100,0,,
Return_No,Attributes,,,,,,,,1,4
Intensity,Attributes,,,,,,,,1,5100
Class_Code,Attributes,,,,,,,,1,12
Scan_Angle,Attributes,,,,,,,,-18,22
User_Data,Attributes,,,,,,,,32,32
Point_Source,Attributes,,,,,,,,1030,1037
Model_Key,ClassFlags,0,0.00,,,,,,,
Synthetic,ClassFlags,0,0.00,,,,,,,
WithHeld,ClassFlags,0,0.00,,,,,,,
Overlap,ClassFlags,0,0.00,,,,,,,
